field_key,otu_num,seq_abund,otu_ID,phylum,class,order,family,genus,species,primary_lifestyle,field_name,region,field_type,yr_since
20,otu_2755,5,001c7fea0c4120e35b65a9e20e19f83b,Basidiomycota,Agaricomycetes,Agaricales,Clavariaceae,NA,NA,NA,MBREM1,BM,remnant,NA
20,otu_2756,5,417ecfcbea1e8399e36f1a4fbc86fd62,Ascomycota,Sordariomycetes,Myrmecridiales,Myrmecridiaceae,Myrmecridium,Myrmecridium_iridis,soil_saprotroph,MBREM1,BM,remnant,NA
20,otu_2757,8,edb582e7798d44d18e62bccd58926a0c,Ascomycota,Dothideomycetes,Pleosporales,Leptosphaeriaceae,Sphaerellopsis,Sphaerellopsis_filum,plant_pathogen,MBREM1,BM,remnant,NA
20,otu_2758,5,bcd489b55f5067705f9b04fa8015feeb,Ascomycota,Dothideomycetes,Pleosporales,NA,NA,NA,NA,MBREM1,BM,remnant,NA
20,otu_2759,5,4d884a6b8ba679e471b7298f1c9890af,Basidiomycota,Agaricomycetes,Agaricales,Lycoperdaceae,Bovista,NA,NA,MBREM1,BM,remnant,NA
20,otu_2760,5,c0404a50359f3330468a8560fac59452,Basidiomycota,Agaricomycetes,Sebacinales,unidentified,unidentified,unidentified,NA,MBREM1,BM,remnant,NA
20,otu_2886,4,4d7e6cb5cb131d00a65a94dc83719cca,Basidiomycota,Agaricomycetes,NA,NA,NA,NA,NA,MBREM1,BM,remnant,NA
20,otu_2888,4,8f81cb90212395639b7be2a302c74c38,Basidiomycota,Agaricomycetes,Auriculariales,unidentified,unidentified,unidentified,NA,MBREM1,BM,remnant,NA
20,otu_2889,4,2313229f1f65b8a718c20dc2751103d0,Ascomycota,Sordariomycetes,Hypocreales,NA,NA,NA,NA,MBREM1,BM,remnant,NA
20,otu_2890,4,c9aa4e5b0a97ec8f4c0c9fcb0125c067,Ascomycota,Leotiomycetes,Helotiales,Helotiaceae,Acidea,Acidea_extrema,NA,MBREM1,BM,remnant,NA
20,otu_2891,4,d4e0aea0c6465675687a62ea4a947f71,Basidiomycota,Agaricomycetes,Agaricales,Entolomataceae,Clitopilus,unidentified,litter_saprotroph,MBREM1,BM,remnant,NA
20,otu_2892,4,15f896e6e8128ce4d1dd369b380400f2,Basidiomycota,Agaricomycetes,Agaricales,Lycoperdaceae,Lycoperdon,Lycoperdon_fuligineum,NA,MBREM1,BM,remnant,NA
20,otu_2893,4,950ec1b50e424ff70bc0c5e39e030ea9,Ascomycota,Leotiomycetes,Helotiales,Helotiales_fam_Incertae_sedis,Chalara,NA,NA,MBREM1,BM,remnant,NA
20,otu_2894,4,aac2a512d4391d8f3544e0a26ac74bdd,Basidiomycota,Agaricomycetes,Agaricales,Bolbitiaceae,Conocybe,NA,soil_saprotroph,MBREM1,BM,remnant,NA
