otu_num,phylum,class,order,family,genus,species,primary_lifestyle
otu_1944,NA,NA,NA,NA,NA,NA,NA
otu_1945,NA,NA,NA,NA,NA,NA,NA
otu_1946,Glomeromycota,Glomeromycetes,Glomerales,Glomeraceae,Rhizophagus,Rhizophagus_fasciculatus,arbuscular_mycorrhizal
otu_1947,Ascomycota,Leotiomycetes,Helotiales,Hyaloscyphaceae,NA,NA,NA
otu_1948,Glomeromycota,Glomeromycetes,Glomerales,Glomeraceae,NA,NA,NA
otu_1949,Ascomycota,Sordariomycetes,Magnaporthales,Magnaporthaceae,Magnaporthiopsis,Magnaporthiopsis_panicorum,unspecified_pathotroph
otu_1950,Basidiomycota,Agaricomycetes,Agaricales,Cortinariaceae,Cortinarius,NA,ectomycorrhizal
otu_1951,Glomeromycota,Glomeromycetes,Glomerales,Glomeraceae,NA,NA,NA
otu_1952,Basidiomycota,Agaricomycetes,Trechisporales,Hydnodontaceae,Trechispora,unidentified,wood_saprotroph
otu_1953,Ascomycota,Leotiomycetes,Helotiales,NA,NA,NA,NA
otu_1954,Basidiomycota,Agaricomycetes,NA,NA,NA,NA,NA
otu_1955,Chlorophyta,Chlorophyceae,Chaetopeltidales,Chaetopeltidaceae,Planophila,Planophila_laetevirens,NA
otu_1956,Chytridiomycota,Spizellomycetes,Spizellomycetales,Spizellomycetaceae,Kochiomyces,NA,pollen_saprotroph
otu_1957,Ascomycota,Orbiliomycetes,Orbiliales,Orbiliales_fam_Incertae_sedis,Vermispora,Vermispora_fusarina,NA
otu_1958,NA,NA,NA,NA,NA,NA,NA
otu_1959,Ascomycota,Dothideomycetes,Pleosporales,Biatriosporaceae,Biatriospora,Biatriospora_mackinnonii,wood_saprotroph
otu_1960,Ascomycota,NA,NA,NA,NA,NA,NA
otu_1961,Ascomycota,Sordariomycetes,Sordariales,Sordariales_fam_Incertae_sedis,Conlarium,unidentified,NA
otu_1962,NA,NA,NA,NA,NA,NA,NA
otu_1963,Ascomycota,Eurotiomycetes,Eurotiales,Trichocomaceae,Talaromyces,NA,unspecified_saprotroph
otu_1964,Basidiomycota,Agaricomycetes,Agaricales,Tricholomataceae,Arrhenia,NA,NA
otu_1965,Basidiomycota,Agaricomycetes,Sebacinales,NA,NA,NA,NA
otu_1966,Basidiomycota,Agaricomycetes,Agaricales,Tricholomataceae,Mycena,NA,NA
