sv_num,otu_ID,class,order,family,genus,taxon,accession
sv_599,5183857bbabb1c51255ef232bd9b3db0,Glomeromycetes, Glomerales, Glomeraceae, Glomus,NA,NA
sv_600,5dbcb3d943e7b6a591952c6d1d4f36c7,Glomeromycetes, Glomerales, Glomeraceae, Glomus, Glomus sp., VTX00234
sv_601,34e1cc634922661972b098758e76fcb1,Paraglomeromycetes, Paraglomerales, Paraglomeraceae, Paraglomus,NA,NA
sv_602,ccada6b3e6926482abea99b7a30926fd,Glomeromycetes, Glomerales, Glomeraceae, Glomus, Glomus Douhan3, VTX00212
sv_603,a258991a4c7712ca7474808e101b491c,Glomeromycetes, Glomerales, Claroideoglomeraceae, Claroideoglomus,NA,NA
sv_604,4e5b322285bdaff37f6fdb19ae41dc9f,Glomeromycetes, Glomerales, Glomeraceae, Glomus, Glomus sp., VTX00315
sv_605,9dc45b7df51b549feddb088e7a451bea,Glomeromycetes, Glomerales, Claroideoglomeraceae, Claroideoglomus,NA,NA
sv_606,32700529321e09abe31182d0a210b2cf,Glomeromycetes, Glomerales, Glomeraceae, Glomus, Glomus sp., VTX00315
sv_607,0d6cca9aef3df65ac3e1365449f97a46,Glomeromycetes, Glomerales, Glomeraceae, Glomus,NA,NA
sv_608,af93ffc46c73a0f5e5dc3e900ba77e58,Glomeromycetes, Glomerales, Claroideoglomeraceae, Claroideoglomus,NA,NA
sv_609,dba4b51cb2bf859cebaf5f9aa8d5bb20,Glomeromycetes, Glomerales, Glomeraceae, Glomus, Glomus sp., VTX00315
sv_610,a7420908326448d6564d24fb93ec09dd,Glomeromycetes, Glomerales, Glomeraceae, Glomus,NA,NA
sv_611,6450ebfd5a5125793dc90de51910b620,Glomeromycetes, Glomerales, Glomeraceae, Glomus,NA,NA
sv_612,dc495859cdd4081d7f02ccda5a95c585,Glomeromycetes, Glomerales, Glomeraceae, Glomus, Glomus Yamato2005 D, VTX00084
sv_613,c5305e6d1af45102a50d227d6b5cff94,Glomeromycetes, Glomerales, Glomeraceae, Glomus, Glomus MO-G15, VTX00135
sv_614,73fe58eea2de298dc7380cc5e37b9cc7,Glomeromycetes, Glomerales, Glomeraceae, Glomus, Glomus Wirsel OTU4, VTX00086
sv_615,e6423bb1d53a6e9f2bf2f472674feb77,Glomeromycetes, Glomerales, Glomeraceae, Glomus, Glomus viscosum, VTX00063
sv_616,bc900fb41a559b63de50b6bc47d2d7de,Glomeromycetes, Glomerales, Glomeraceae, Glomus, Glomus Yamato2005 D, VTX00084
sv_617,8afb140dd51bdf39257abe7c1a96d11a,Glomeromycetes, Glomerales, Glomeraceae, Glomus,NA,NA
sv_618,5e6c65c36877c0ac4d2cc76953272f39,Glomeromycetes, Glomerales, Glomeraceae, Glomus, Glomus Wirsel OTU4, VTX00086
sv_619,2e1e5d666608bebfdcaa548a37f9c0b8,Paraglomeromycetes, Paraglomerales, Paraglomeraceae, Paraglomus,NA,NA
