otu_num,phylum,class,order,family,genus,species,taxon,taxon_level,trophic_mode,guild,confidence,primary_lifestyle
otu_697,Glomeromycota,Glomeromycetes,Glomerales,Glomeraceae,Glomus,Glomus_compressum,Glomus,13,Symbiotroph,Arbuscular Mycorrhizal,Highly Probable,arbuscular_mycorrhizal
otu_698,Ascomycota,Eurotiomycetes,Chaetothyriales,Herpotrichiellaceae,unidentified,unidentified,Herpotrichiellaceae,9,Pathotroph-Saprotroph,Animal Pathogen-Fungal Parasite-Undefined Saprotroph,Probable,NA
otu_699,Mucoromycota,Mucoromycetes,Mucorales,Cunninghamellaceae,Absidia,unidentified,Absidia,13,Saprotroph,Undefined Saprotroph,Probable,soil_saprotroph
otu_700,Basidiomycota,Agaricomycetes,Agaricales,Tricholomataceae,Mycena,Mycena_rebaudengoi,Mycena,13,Pathotroph-Saprotroph,Leaf Saprotroph-Plant Pathogen-Undefined Saprotroph-Wood Saprotroph,Probable,NA
otu_701,Glomeromycota,Glomeromycetes,Glomerales,Glomeraceae,Kamienskia,NA,Glomeraceae,9,Symbiotroph,Arbuscular Mycorrhizal,Highly Probable,arbuscular_mycorrhizal
otu_702,Glomeromycota,Glomeromycetes,Glomerales,Glomeraceae,unidentified,unidentified,Glomeraceae,9,Symbiotroph,Arbuscular Mycorrhizal,Highly Probable,NA
otu_703,Ascomycota,Sordariomycetes,Glomerellales,Glomerellaceae,Colletotrichum,NA,Colletotrichum,13,Pathotroph-Symbiotroph,Endophyte-Plant Pathogen,Probable,plant_pathogen
otu_704,Glomeromycota,Archaeosporomycetes,Archaeosporales,Ambisporaceae,Ambispora,Ambispora_gerdemannii,Ambispora,13,Symbiotroph,Arbuscular Mycorrhizal,Highly Probable,arbuscular_mycorrhizal
otu_705,Basidiomycota,Agaricomycetes,Agaricales,Hygrophoraceae,Hygrocybe,Hygrocybe_glutinipes,Hygrocybe,13,Saprotroph-Symbiotroph,Undefined Saprotroph-Undefined Symbiotroph,Probable,soil_saprotroph
otu_706,Glomeromycota,Glomeromycetes,Glomerales,Glomeraceae,Dominikia,NA,Glomeraceae,9,Symbiotroph,Arbuscular Mycorrhizal,Highly Probable,arbuscular_mycorrhizal
otu_707,Mortierellomycota,Mortierellomycetes,Mortierellales,Mortierellaceae,Mortierella,NA,Mortierella,13,Saprotroph-Symbiotroph,Endophyte-Litter Saprotroph-Soil Saprotroph-Undefined Saprotroph,Probable,soil_saprotroph
otu_708,Basidiomycota,Agaricomycetes,Agaricales,Entolomataceae,Clitopilus,unidentified,Clitopilus,13,Saprotroph,Undefined Saprotroph,Probable,litter_saprotroph
otu_709,Ascomycota,Sordariomycetes,Hypocreales,Hypocreaceae,Hypomyces,NA,Hypomyces,13,Pathotroph,Fungal Parasite,Highly Probable,mycoparasite
otu_710,Ascomycota,Dothideomycetes,Capnodiales,Mycosphaerellaceae,NA,NA,Mycosphaerellaceae,9,Pathotroph-Saprotroph,Plant Pathogen-Undefined Saprotroph,Probable,NA
otu_711,Glomeromycota,Glomeromycetes,Glomerales,Glomeraceae,Rhizophagus,NA,Rhizophagus,13,Symbiotroph,Arbuscular Mycorrhizal,Highly Probable,arbuscular_mycorrhizal
otu_712,Ascomycota,Sordariomycetes,Hypocreales,Hypocreales_fam_Incertae_sedis,Sarocladium,Sarocladium_kiliense,Sarocladium,13,Saprotroph,Undefined Saprotroph,Probable,NA
otu_713,Mortierellomycota,Mortierellomycetes,Mortierellales,Mortierellaceae,Mortierella,NA,Mortierella,13,Saprotroph-Symbiotroph,Endophyte-Litter Saprotroph-Soil Saprotroph-Undefined Saprotroph,Probable,soil_saprotroph
otu_714,Basidiomycota,Agaricomycetes,Agaricales,Cortinariaceae,Cortinarius,NA,Cortinarius,13,Symbiotroph,Ectomycorrhizal,Highly Probable,ectomycorrhizal
otu_715,Ascomycota,Sordariomycetes,Hypocreales,Nectriaceae,NA,NA,Nectriaceae,9,Pathotroph-Saprotroph-Symbiotroph,Animal Pathogen-Endophyte-Fungal Parasite-Lichen Parasite-Plant Pathogen-Wood Saprotroph,Possible,NA
otu_716,Chytridiomycota,Spizellomycetes,Spizellomycetales,Powellomycetaceae,Powellomyces,Powellomyces_hirtus,Powellomyces,13,Pathotroph,Plant Pathogen,Probable,pollen_saprotroph
otu_717,Basidiomycota,Agaricomycetes,Cantharellales,Ceratobasidiaceae,Rhizoctonia,Rhizoctonia_fusispora,Ceratobasidiaceae,9,Pathotroph-Saprotroph-Symbiotroph,Endomycorrhizal-Plant Pathogen-Undefined Saprotroph,Possible,plant_pathogen
otu_718,Ascomycota,Dothideomycetes,Pleosporales,Phaeosphaeriaceae,Neostagonospora,NA,Phaeosphaeriaceae,9,Pathotroph-Saprotroph,Fungal Parasite-Plant Pathogen-Plant Saprotroph,Probable,litter_saprotroph
otu_719,Ascomycota,Leotiomycetes,Helotiales,Helotiaceae,Hymenoscyphus,Hymenoscyphus_menthae,Hymenoscyphus,13,Pathotroph-Saprotroph-Symbiotroph,Bryophyte Parasite-Ectomycorrhizal-Ericoid Mycorrhizal-Undefined Saprotroph,Possible,litter_saprotroph
otu_720,Basidiomycota,Agaricomycetes,Agaricales,Bolbitiaceae,Pholiotina,Pholiotina_dasypus,Pholiotina,13,Saprotroph,Undefined Saprotroph,Probable,soil_saprotroph
otu_721,Basidiomycota,Agaricomycetes,Agaricales,Entolomataceae,Clitopilus,unidentified,Clitopilus,13,Saprotroph,Undefined Saprotroph,Probable,litter_saprotroph
otu_722,Ascomycota,Sordariomycetes,Coniochaetales,Coniochaetaceae,Coniochaeta,NA,Coniochaeta,13,Pathotroph-Saprotroph-Symbiotroph,Animal Pathogen-Dung Saprotroph-Endophyte-Lichen Parasite-Plant Pathogen-Undefined Saprotroph,Possible,unspecified_saprotroph
otu_723,Basidiomycota,Agaricomycetes,Agaricales,Clavariaceae,NA,NA,Clavariaceae,9,Saprotroph-Symbiotroph,Lichenized-Undefined Saprotroph,Probable,NA
otu_724,Basidiomycota,Agaricomycetes,Agaricales,NA,NA,NA,Agaricales,7,Pathotroph-Saprotroph-Symbiotroph,Bryophyte Parasite-Dung Saprotroph-Ectomycorrhizal-Fungal Parasite-Leaf Saprotroph-Plant Parasite-Undefined Saprotroph-Wood Saprotroph,Possible,NA
otu_725,Ascomycota,Geoglossomycetes,Geoglossales,Geoglossaceae,Geoglossum,unidentified,Geoglossum,13,Saprotroph,Undefined Saprotroph,Probable,soil_saprotroph
otu_726,Basidiomycota,Agaricomycetes,Agaricales,Inocybaceae,Inocybe,Inocybe_squamata,Inocybe,13,Symbiotroph,Ectomycorrhizal,Highly Probable,ectomycorrhizal
