otu_num,otu_ID,phylum,class,order,family,genus,species,primary_lifestyle
otu_1530,e905bebb1be8f1ecc088c6d9ffa5cafb,Ascomycota,Leotiomycetes,Helotiales,Helotiales_fam_Incertae_sedis,Leohumicola,NA,NA
otu_1531,00373f09bb78be73363d5cc6b801f2c1,Basidiomycota,NA,NA,NA,NA,NA,NA
otu_1532,1b1b0c735dd8dbca8dfac38d5d46fb61,Basidiomycota,Cystobasidiomycetes,NA,NA,NA,NA,NA
otu_1533,1ba6f94bf96bc6e7804d2bf52dbc2461,Basidiomycota,Agaricomycetes,Agaricales,NA,NA,NA,NA
otu_1534,730292ca88d8d49965b3a657855d8487,Glomeromycota,Glomeromycetes,Glomerales,Glomeraceae,Rhizophagus,NA,arbuscular_mycorrhizal
otu_1535,893458a523d073f9fdd2e90442140783,Ascomycota,Sordariomycetes,Glomerellales,Plectosphaerellaceae,Cephalosporium,unidentified,plant_pathogen
otu_1536,a38cc635f06fc712df98a542203c5ff4,Ascomycota,Eurotiomycetes,Chaetothyriales,NA,NA,NA,NA
otu_1537,cf81e6c8d6353ece9247636c5cb6d77a,Basidiomycota,Tremellomycetes,Tremellales,Bulleribasidiaceae,Vishniacozyma,Vishniacozyma_tephrensis,soil_saprotroph
otu_1538,b908af510fc040a85ab2f600512fea45,Ascomycota,Sordariomycetes,Hypocreales,Cordycipitaceae,NA,NA,NA
otu_1539,ee5781f894e89027f6963560f91284c0,Ascomycota,Sordariomycetes,Sordariales,NA,NA,NA,NA
otu_1540,9675d02d94226b6961b2d99bf9a2da86,Basidiomycota,Agaricomycetes,Agaricales,NA,NA,NA,NA
otu_1541,624b57ce7573c94edd77c57a1ece8aa7,Basidiomycota,Ustilaginomycetes,Urocystidales,Glomosporiaceae,Thecaphora,NA,plant_pathogen
otu_1542,fb5c71f619d743b6ab9b0a48c459cdcc,NA,NA,NA,NA,NA,NA,NA
otu_1543,ff805f9e0f39d6ab16d2239f3dca7aa6,Ascomycota,Sordariomycetes,Chaetosphaeriales,Chaetosphaeriaceae,NA,NA,NA
otu_1544,a590fd97083ce8c84cc4a36ba23ca59b,Ascomycota,Eurotiomycetes,Chaetothyriales,Trichomeriaceae,Arthrocladium,NA,soil_saprotroph
otu_1545,b54e22ead80fa4fa40356b5eb5e6c53d,Ascomycota,Pezizomycetes,Pezizales,Pyronemataceae,unidentified,unidentified,NA
otu_1546,dc90de6b1b374a6a9ea38ef01affd838,Glomeromycota,Glomeromycetes,Glomerales,Glomeraceae,Rhizoglomus,unidentified,arbuscular_mycorrhizal
otu_1547,325a312ced9fc1079125a56af1a42d64,Basidiomycota,Agaricomycetes,Agaricales,Bolbitiaceae,Conocybe,Conocybe_dumetorum,soil_saprotroph
otu_1548,bb828abcf2eaa7b66bd0e2b9072a6f23,NA,NA,NA,NA,NA,NA,NA
otu_1549,6da9d806cdc896a9d344d5922797935a,Ascomycota,Sordariomycetes,Xylariales,Apiosporaceae,Arthrinium,Arthrinium_malaysianum,NA
