#OTU ID	taxonomy	Confidence
e255a7cac19c3236b25e183868983627	k__Fungi;p__Ascomycota;c__Sordariomycetes;o__Hypocreales;f__Hypocreaceae;g__Trichoderma;s__Trichoderma_strigosellum	0.968688897
b983932be00433c7a86bf5c837950c98	k__Fungi;p__Ascomycota;c__Sordariomycetes;o__Magnaporthales;f__Magnaporthaceae;g__Slopeiomyces;s__Slopeiomyces_cylindrosporus	0.999931195
ac55fd7c43119b34fa7a06a7f66e6d5b	k__Fungi;p__Ascomycota;c__Leotiomycetes;o__Helotiales;f__Helotiales_fam_Incertae_sedis;g__Spirosphaera;s__Spirosphaera_cupreorufescens	0.999934704
179939314686de052843a32f5eb9248d	k__Fungi;p__Ascomycota;c__Sordariomycetes;o__Sordariales;f__Lasiosphaeriaceae;g__Podospora;s__Podospora_intestinacea	0.972321125
a300bd5151dd017e3b983aa48ab4a72a	k__Fungi;p__Ascomycota;c__Eurotiomycetes;o__Chaetothyriales	0.999646638
64190f323bd4b6d7dbdd8fb50eca6c66	k__Fungi;p__Ascomycota;c__Dothideomycetes;o__Pleosporales;f__Cucurbitariaceae;g__Pyrenochaetopsis;s__Pyrenochaetopsis_leptospora	0.999998222
e1336c9cf10473ab9421e6784c0f98b8	k__Fungi;p__Ascomycota;c__Sordariomycetes;o__Hypocreales;f__Nectriaceae;g__Fusarium	0.987499429
0ecd53bc29f92db5699b397fc60cba74	k__Fungi;p__Basidiomycota;c__Agaricomycetes;o__Agaricales;f__Tricholomataceae;g__Dermoloma	0.979025518
850aa46399b7baf8041e2ff56e60da52	k__Fungi;p__Mortierellomycota;c__Mortierellomycetes;o__Mortierellales;f__Mortierellaceae;g__Mortierella	0.999999961
260013141719567280a5192ef07efae0	k__Fungi;p__Ascomycota	0.948667258
63e90eb3dda21f5e37f30af260a861be	k__Fungi;p__Basidiomycota;c__Agaricomycetes;o__Agaricales;f__Lycoperdaceae;g__Lycoperdon;s__Lycoperdon_pratense	0.991697187
95235932e7a873093c89cf8e6ef33aa5	k__Fungi;p__Ascomycota;c__Sordariomycetes;o__Sordariales;f__Lasiosphaeriaceae;g__Schizothecium	0.998208436
d221471791ae56b0bcc2efe6b3587c0e	k__Fungi;p__Ascomycota;c__Eurotiomycetes;o__Chaetothyriales;f__Herpotrichiellaceae;g__unidentified;s__unidentified	0.992373941
52140efb2552c0d6b20ce27efedb4c70	k__Fungi;p__Ascomycota;c__Sordariomycetes;o__Hypocreales;f__Hypocreaceae;g__Trichoderma	0.99999992
47ad6e267324cf5d23da321883a61268	Unassigned	0.109331756
da0b6d5a466e9803c1fb91ab10d1db90	k__Fungi;p__Ascomycota;c__Sordariomycetes;o__Hypocreales;f__Hypocreaceae;g__Trichoderma	0.999999897
7eb18d4d4606c05efa5aa34a37a59456	k__Fungi;p__Ascomycota;c__Sordariomycetes;o__Hypocreales;f__Nectriaceae	0.999998737
de8c8c88be8b7b3eceb159ea1806b8d0	k__Fungi;p__Basidiomycota;c__Agaricomycetes;o__Agaricales;f__Bolbitiaceae;g__Panaeolus;s__Panaeolus_subbalteatus	0.999973169
d3fc0da6c971a70faed84976bbfeb6c4	k__Fungi;p__Ascomycota;c__Dothideomycetes;o__Pleosporales;f__Leptosphaeriaceae;g__Plenodomus;s__Plenodomus_biglobosus	0.999999773
62fc1e3216675b1e49c6d0e67fcd3b8a	k__Fungi;p__Ascomycota;c__Geoglossomycetes;o__Geoglossales;f__Geoglossaceae;g__Geoglossum	0.971007751
110d7b706987df23c37391bdf8246d0a	k__Fungi;p__Ascomycota;c__Dothideomycetes;o__Pleosporales;f__Melanommataceae;g__unidentified;s__unidentified	0.998531932
8cadd173e234f41676e1cc36b475f93b	k__Fungi;p__Ascomycota;c__Geoglossomycetes;o__Geoglossales;f__Geoglossaceae;g__Glutinoglossum	0.999999998
e1ca1090cc2c9f6bfc99efdbbd4cff73	k__Fungi;p__Ascomycota;c__Sordariomycetes;o__Sordariales	0.99991915
0d52f22c0a35556b5fcd5f0f96590863	k__Fungi;p__Ascomycota;c__Sordariomycetes;o__Coniochaetales;f__Coniochaetaceae	0.976724282
0a04c05f0f60315df62295ea10104a84	k__Fungi;p__Basidiomycota;c__Agaricomycetes;o__Agaricales;f__Nidulariaceae;g__Cyathus;s__Cyathus_stercoreus	0.999998328
5f9f1be3a041032ad832d6d66957e1b9	k__Fungi;p__Basidiomycota;c__Agaricomycetes;o__Agaricales;f__Hygrophoraceae;g__Cuphophyllus;s__unidentified	0.961199134
4bd6d18b694ea5a6ca7077e5f046fe44	k__Fungi;p__Ascomycota;c__Dothideomycetes;o__Pleosporales	0.997313798
62d00c695fd5b55e239e10b463dae81c	Unassigned	0.064337839
ad9beb10b66b556f7755667c59a1855e	k__Fungi	0.954113705
3983e3b188565120adbe0ac3f1765c5c	k__Fungi;p__Ascomycota;c__Sordariomycetes;o__Chaetosphaeriales;f__Chaetosphaeriaceae	0.992915852
48550651b58244affffe7dc5d4e6fac2	k__Fungi;p__Ascomycota;c__Geoglossomycetes;o__Geoglossales;f__Geoglossaceae;g__unidentified;s__unidentified	0.979846846
fd2ae80f3011adfc59dedc39541572bd	k__Fungi;p__Ascomycota;c__Eurotiomycetes;o__Chaetothyriales	0.991511924
6a015160c176922d8a5e26c59617f63e	k__Fungi;p__Ascomycota;c__Sordariomycetes;o__Sordariales;f__Lasiosphaeriaceae;g__Cercophora;s__Cercophora_coronata	0.992136371
a1bfffaf2a56ccc621fd89a0a01886a5	k__Fungi;p__Mortierellomycota;c__Mortierellomycetes;o__Mortierellales;f__Mortierellaceae;g__Mortierella;s__unidentified	0.959891623
